
Transactions
User,Olivier Brunel,ab12c34d-5e67-8901-2f34-5a6b78901c2d
Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2024-04-02 01:21:17 UTC,Staking Income,SOL,0.000016805,EUR,177.48,0.00,0.00,0,
2024-04-01 20:41:37 UTC,Staking Income,SOL,0.000000915,EUR,179.83,0.00,0.00,0,
2024-03-30 19:44:51 UTC,Staking Income,SOL,0.000016722,EUR,181.14,0.00,0.00,0,
2024-03-30 18:14:53 UTC,Staking Income,SOL,0.000001261,EUR,182.21,0.00,0.00,0,
2024-03-27 18:50:45 UTC,Staking Income,SOL,0.000015915,EUR,168.30,0.00,0.00,0,
2024-03-26 23:12:48 UTC,Withdrawal,EUR,150.6,EUR,1.00,150.60,150.60,0,
2024-03-26 23:12:04 UTC,Sell,EUR,20.89,EUR,1.07,22.38,20.89,-1.49,Sold 20.89 EUR for 20.89 EUR
2024-03-26 23:12:03 UTC,Sell,FIDA,46.165532,EUR,0.48,22.38,20.89,-1.49,Sold 46.165532 FIDA for 20.89 EUR
2024-03-26 23:11:31 UTC,Sell,EUR,129.71,EUR,1.02,132.70,129.71,-2.99,Sold 129.71 EUR for 129.71 EUR
2024-03-26 23:11:31 UTC,Sell,LTC,1.51016338,EUR,87.87,132.70,129.71,-2.99,Sold 1.51016338 LTC for 129.71 EUR
2024-03-26 23:07:52 UTC,Withdrawal,EUR,497.29,EUR,1.00,497.29,497.29,0,
2024-03-26 23:07:06 UTC,Sell,EUR,497.29,EUR,1.02,504.81,497.29,-7.52,Sold 497.29 EUR for 497.29 EUR
2024-03-26 23:07:06 UTC,Sell,ETH,0.15326427,EUR,3293.72,504.81,497.29,-7.52,Sold 0.15326427 ETH for 497.29 EUR
2024-03-26 23:04:17 UTC,Withdrawal,EUR,1099.87,EUR,1.00,1099.87,1099.87,0,
2024-03-26 23:01:41 UTC,Sell,BTC,0.01736277,EUR,64160.27,1114.00,1097.40,-16.6,Sold 0.01736277 BTC for 1097.4 EUR
2024-03-26 23:01:41 UTC,Sell,EUR,1097.4,EUR,1.02,1114.00,1097.40,-16.6,Sold 1097.4 EUR for 1097.4 EUR
